ID,Original Title,Inferred Title_ru
4777,22. Приговор (Yargı) (3 сезона) 2021 (сезон 1),Приговор
4778,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E03.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4779,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E06.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4780,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E09.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4781,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E10.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4782,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E15.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4783,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E19.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4784,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E20.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4785,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E21.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4786,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E24.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4787,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E25.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4788,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E26.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4789,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E27.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4790,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E29.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4791,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E30.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4792,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E31.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4793,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E32.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4794,22. Приговор (Yargı) (3 сезона) 2021 S01E00 Yargi.S01E34.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4795,22. Приговор (Yargı) (3 сезона) 2021 (сезон 2),Приговор
4796,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E01.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
4797,22. Приговор (Yargı) (3 сезона) 2021 S02E00 Yargi.S02E03.1080p.WEB-DL-AVC.rus.tur.DiziMania.mkv,Приговор
